epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2145,1.28825,1.49884,0.93251,0.76603,0.59328,0.67225,0.4134,1.24502,0.90705,0.92482,0.00332618,0.00332618,0.00332618
2,134.998,1.32555,1.04164,0.93787,0.8112,0.58138,0.67274,0.4017,1.29334,1.15746,0.94155,0.00664303,0.00664303,0.00664303
3,182.23,1.47393,1.26758,0.98068,0.7666,0.46393,0.54283,0.28089,1.54388,1.27615,1.00358,0.00994338,0.00994338,0.00994338
4,228.629,1.59823,1.38775,1.01441,0.66649,0.4141,0.45227,0.24674,1.54978,1.58175,1.01698,0.00992575,0.00992575,0.00992575
5,273.357,1.61345,1.40163,1.03317,0.7109,0.47735,0.5445,0.30893,1.47139,1.24934,1.0061,0.009901,0.009901,0.009901
6,321.386,1.58666,1.33824,1.03177,0.71434,0.50587,0.57039,0.31461,1.49283,1.24454,1.00744,0.00987625,0.00987625,0.00987625
7,369.504,1.5682,1.28662,1.02495,0.73249,0.50168,0.57925,0.32854,1.42159,1.12864,0.98993,0.0098515,0.0098515,0.0098515
8,434.444,1.5113,1.22221,1.01459,0.73886,0.49497,0.58276,0.31522,1.48829,1.18079,0.99642,0.00982675,0.00982675,0.00982675
9,509.953,1.47984,1.16665,0.99943,0.75345,0.5755,0.66645,0.38648,1.36262,1.03008,0.97575,0.009802,0.009802,0.009802
10,576.576,1.4764,1.12762,0.99962,0.76666,0.55537,0.65006,0.375,1.36662,1.00748,0.9721,0.00977725,0.00977725,0.00977725
11,652.085,1.43753,1.08818,1.00044,0.77974,0.61493,0.68886,0.40872,1.29173,0.92001,0.96014,0.0097525,0.0097525,0.0097525
12,748.027,1.42233,1.04149,0.99066,0.79662,0.61829,0.7018,0.40772,1.29335,0.93479,0.96324,0.00972775,0.00972775,0.00972775
13,849.58,1.37331,1.01152,0.98109,0.80521,0.59302,0.67587,0.39791,1.31764,0.92244,0.9572,0.009703,0.009703,0.009703
14,965.951,1.36333,0.99304,0.97031,0.81183,0.59983,0.69625,0.42112,1.25814,0.94355,0.94969,0.00967825,0.00967825,0.00967825
15,1062.23,1.35435,0.96255,0.96551,0.84664,0.62332,0.72079,0.43133,1.26723,0.85314,0.94136,0.0096535,0.0096535,0.0096535
16,1166.88,1.34152,0.93534,0.96622,0.81882,0.62081,0.7178,0.42343,1.27586,0.85507,0.94393,0.00962875,0.00962875,0.00962875
17,1281.85,1.31205,0.91984,0.96075,0.85839,0.62248,0.72022,0.44008,1.22366,0.85524,0.944,0.009604,0.009604,0.009604
18,1389.1,1.31315,0.89987,0.95361,0.82031,0.62836,0.71217,0.43108,1.25325,0.86516,0.94617,0.00957925,0.00957925,0.00957925
19,1485.11,1.30025,0.9236,0.95036,0.81939,0.64262,0.73013,0.4352,1.23326,0.83079,0.9327,0.0095545,0.0095545,0.0095545
20,1595.48,1.30119,0.89233,0.95482,0.83819,0.64346,0.74139,0.45059,1.20918,0.82168,0.92557,0.00952975,0.00952975,0.00952975
21,1698.01,1.27497,0.86857,0.94774,0.83799,0.65956,0.74309,0.4551,1.1938,0.78769,0.92507,0.009505,0.009505,0.009505
22,1802.36,1.26955,0.85479,0.94099,0.80366,0.65589,0.74121,0.45199,1.20689,0.78351,0.92671,0.00948025,0.00948025,0.00948025
23,1913.79,1.2634,0.84979,0.94633,0.8615,0.64185,0.7617,0.47583,1.17113,0.73089,0.91543,0.0094555,0.0094555,0.0094555
24,2007.31,1.25079,0.81527,0.93704,0.85207,0.67653,0.7661,0.4861,1.15915,0.72594,0.91516,0.00943075,0.00943075,0.00943075
25,2113.25,1.23766,0.82389,0.93875,0.8475,0.6667,0.7574,0.47076,1.16255,0.72035,0.91814,0.009406,0.009406,0.009406
26,2222.39,1.24822,0.82162,0.93764,0.84549,0.6594,0.7504,0.47585,1.16878,0.73211,0.92174,0.00938125,0.00938125,0.00938125
27,2327.61,1.2152,0.79309,0.93583,0.84307,0.64901,0.73854,0.45211,1.21243,0.78939,0.93359,0.0093565,0.0093565,0.0093565
28,2432.49,1.23159,0.79948,0.93439,0.86052,0.6745,0.7675,0.4885,1.12815,0.69414,0.90838,0.00933175,0.00933175,0.00933175
29,2538.99,1.2215,0.79844,0.93297,0.84411,0.67198,0.76652,0.48057,1.17463,0.71871,0.91926,0.009307,0.009307,0.009307
30,2641.89,1.18102,0.75401,0.92067,0.86522,0.6745,0.77238,0.48224,1.14439,0.70487,0.91362,0.00928225,0.00928225,0.00928225
31,2747.99,1.18349,0.75995,0.92112,0.88478,0.6764,0.78362,0.4877,1.13005,0.68406,0.90799,0.0092575,0.0092575,0.0092575
32,2859.14,1.20015,0.75007,0.92593,0.84664,0.67616,0.77171,0.4929,1.10844,0.6972,0.90199,0.00923275,0.00923275,0.00923275
33,2956.73,1.1727,0.73659,0.91909,0.8468,0.6896,0.77276,0.49674,1.11367,0.69254,0.90356,0.009208,0.009208,0.009208
34,3061.17,1.18189,0.75058,0.9213,0.84815,0.69349,0.77285,0.50127,1.0951,0.67488,0.89867,0.00918325,0.00918325,0.00918325
35,3171.97,1.17393,0.73525,0.92121,0.83558,0.71141,0.78177,0.50259,1.10798,0.66354,0.90173,0.0091585,0.0091585,0.0091585
36,3278.59,1.16376,0.72357,0.91821,0.87023,0.70882,0.79317,0.51175,1.1035,0.65024,0.89995,0.00913375,0.00913375,0.00913375
37,3383.99,1.1596,0.71674,0.91548,0.87732,0.68876,0.78884,0.49871,1.09962,0.65907,0.90066,0.009109,0.009109,0.009109
38,3490.21,1.1562,0.70222,0.91618,0.8497,0.70805,0.77814,0.48877,1.13173,0.68996,0.9023,0.00908425,0.00908425,0.00908425
39,3595.93,1.15808,0.71836,0.91585,0.84294,0.70237,0.78532,0.50373,1.10054,0.65861,0.89978,0.0090595,0.0090595,0.0090595
40,3702.91,1.14188,0.70508,0.9142,0.8483,0.71777,0.7989,0.51604,1.10856,0.63183,0.89925,0.00903475,0.00903475,0.00903475
41,3814.24,1.14481,0.70189,0.90827,0.878,0.68221,0.78284,0.51119,1.08356,0.65043,0.89819,0.00901,0.00901,0.00901
42,3909.29,1.1264,0.68596,0.91476,0.88939,0.6896,0.79101,0.51286,1.08889,0.64778,0.90332,0.00898525,0.00898525,0.00898525
43,4017.61,1.14452,0.69523,0.9095,0.8948,0.69215,0.7987,0.51865,1.08854,0.64951,0.8984,0.0089605,0.0089605,0.0089605
44,4130.13,1.1242,0.67687,0.90724,0.84989,0.69821,0.78807,0.51169,1.07299,0.64177,0.89158,0.00893575,0.00893575,0.00893575
45,4236.83,1.10569,0.67007,0.90507,0.89058,0.69649,0.79773,0.51956,1.07861,0.62505,0.89702,0.008911,0.008911,0.008911
46,4337.93,1.11597,0.67004,0.9039,0.85969,0.71225,0.80217,0.51724,1.06545,0.6389,0.88931,0.00888625,0.00888625,0.00888625
47,4447.34,1.10679,0.65934,0.90156,0.86508,0.71003,0.80019,0.51282,1.08498,0.64993,0.89125,0.0088615,0.0088615,0.0088615
48,4552.25,1.11669,0.68204,0.89931,0.89213,0.70889,0.80777,0.52551,1.09075,0.62613,0.90015,0.00883675,0.00883675,0.00883675
49,4660.15,1.10335,0.68179,0.90073,0.90007,0.70973,0.81443,0.52691,1.07354,0.61414,0.89344,0.008812,0.008812,0.008812
50,4771.12,1.10138,0.65894,0.90152,0.89379,0.7198,0.81125,0.53315,1.06271,0.60119,0.88936,0.00878725,0.00878725,0.00878725
51,4872.03,1.10424,0.66025,0.90059,0.88403,0.72064,0.81019,0.53547,1.07068,0.61536,0.89335,0.0087625,0.0087625,0.0087625
52,4976.97,1.09113,0.64751,0.89317,0.89208,0.7156,0.81414,0.5344,1.05707,0.59635,0.88424,0.00873775,0.00873775,0.00873775
53,5090.41,1.08486,0.65393,0.90082,0.89387,0.70554,0.81368,0.53791,1.0517,0.6073,0.88995,0.008713,0.008713,0.008713
54,5191.7,1.07954,0.62809,0.89177,0.87829,0.70638,0.80916,0.53644,1.04135,0.60538,0.88085,0.00868825,0.00868825,0.00868825
55,5293.28,1.06624,0.62561,0.89549,0.889,0.72567,0.81512,0.54336,1.0397,0.59636,0.88262,0.0086635,0.0086635,0.0086635
56,5408.5,1.07231,0.63568,0.8934,0.91682,0.71393,0.82253,0.53713,1.05343,0.59101,0.89172,0.00863875,0.00863875,0.00863875
57,5512.97,1.08654,0.6396,0.89113,0.90073,0.71477,0.81349,0.53636,1.05429,0.58851,0.88857,0.008614,0.008614,0.008614
58,5615.73,1.07448,0.63271,0.89205,0.87162,0.72315,0.81491,0.53636,1.04912,0.61269,0.8846,0.00858925,0.00858925,0.00858925
59,5724.14,1.07076,0.6232,0.88579,0.87285,0.71984,0.81451,0.52954,1.06665,0.60736,0.89136,0.0085645,0.0085645,0.0085645
60,5827.71,1.06156,0.62518,0.88718,0.87925,0.73909,0.83105,0.54735,1.04201,0.5889,0.88076,0.00853975,0.00853975,0.00853975
61,5934.14,1.07097,0.62415,0.89242,0.86974,0.73238,0.81913,0.53034,1.02636,0.58573,0.8805,0.008515,0.008515,0.008515
62,6046.2,1.04541,0.62085,0.88421,0.89026,0.72142,0.82389,0.53866,1.0453,0.57922,0.87933,0.00849025,0.00849025,0.00849025
63,6143.76,1.06268,0.61169,0.89293,0.88596,0.72064,0.81859,0.5403,1.03421,0.58193,0.88672,0.0084655,0.0084655,0.0084655
64,6250.39,1.06222,0.61197,0.88782,0.86852,0.73154,0.82545,0.54274,1.03957,0.59104,0.88086,0.00844075,0.00844075,0.00844075
65,6363.08,1.06051,0.6097,0.88964,0.86842,0.74077,0.82118,0.54336,1.0297,0.58336,0.88314,0.008416,0.008416,0.008416
66,6471.09,1.05405,0.61822,0.88689,0.89733,0.72148,0.82508,0.54979,1.02136,0.57523,0.88038,0.00839125,0.00839125,0.00839125
67,6571.61,1.04547,0.59416,0.88359,0.88658,0.72793,0.82272,0.54855,1.01698,0.5623,0.87834,0.0083665,0.0083665,0.0083665
68,6688.25,1.01966,0.59479,0.88204,0.87862,0.73658,0.8232,0.54419,1.04332,0.56967,0.88164,0.00834175,0.00834175,0.00834175
69,6795.44,1.04427,0.60229,0.88743,0.86934,0.74234,0.82262,0.54936,1.01391,0.56059,0.88111,0.008317,0.008317,0.008317
